X  EXP  TH
8.5 0.1966 4.3509
10.5 0.4597 12.4897
12.5 0.7746 24.493
14.5 1.1609 40.3012
16.5 1.6112 59.9166
18.5 2.1265 83.34
20.5 2.7051 110.572
22.5 3.3441 141.614
24.5 4.0411 176.465
26.5 4.7937 215.127
28.5 5.5992 257.598
30.5 6.457 303.88
32.5 7.3667 353.972
34.5 8.3293 407.875
36.5 9.3458 465.589
38.5 10.4169 527.114
40.5 11.5431 592.449
42.5 12.7224 661.595
44.5 13.9491 734.552
46.5 15.2181 811.321
48.5 16.5221 891.9
13.5 1.3394 31.9213
15.5 1.7467 49.6329
17.5 2.2184 71.1522
19.5 2.7527 96.4801
21.5 3.3484 125.617
23.5 4.003 158.563
25.5 4.7143 195.32
27.5 5.4805 235.886
29.5 6.3004 280.263
31.5 7.1733 328.45
33.5 8.0998 380.448
35.5 9.08 436.256
37.5 10.1147 495.875
39.5 11.2036 559.305
41.5 12.3466 626.546
43.5 13.5441 697.597
45.5 14.7911 772.46
16.5 2.1237 50.206
18.5 2.6293 71.9857
20.5 3.1973 97.5967
22.5 3.8243 127.036
24.5 4.5094 160.3
26.5 5.2506 197.388
28.5 6.0465 238.297
30.5 6.8963 283.027
32.5 7.7988 331.576
34.5 8.7546 383.943
36.5 9.7638 440.128
38.5 10.8268 500.13
40.5 11.9392 563.948
42.5 13.0861 631.582
23.5 4.58 190.948
25.5 5.2251 231.511
27.5 5.9273 275.884
29.5 6.6819 324.069
31.5 7.4919 376.064
33.5 8.3573 431.87
35.5 9.2778 491.486
37.5 10.2535 554.914
39.5 11.2851 622.153
41.5 12.3701 693.203
8.5 0.1966 4.41176
10.5 0.4597 12.6215
12.5 0.7746 24.6333
14.5 1.1609 40.4497
16.5 1.6112 60.0723
18.5 2.1265 83.5023
20.5 2.7051 110.74
22.5 3.3441 141.787
24.5 4.0411 176.644
26.5 4.7937 215.309
28.5 5.5992 257.785
30.5 6.457 304.07
32.5 7.3667 354.166
34.5 8.3293 408.072
36.5 9.3458 465.789
38.5 10.4169 527.316
40.5 11.5431 592.653
42.5 12.7224 661.802
44.5 13.9491 734.761
46.5 15.2181 811.531
48.5 16.5221 892.112
13.5 1.3394 32.0658
15.5 1.7467 49.7852
17.5 2.2184 71.3114
19.5 2.7527 96.6454
21.5 3.3484 125.788
23.5 4.003 158.739
25.5 4.7143 195.5
27.5 5.4805 236.071
29.5 6.3004 280.451
31.5 7.1733 328.642
33.5 8.0998 380.643
35.5 9.08 436.454
37.5 10.1147 496.076
39.5 11.2036 559.508
41.5 12.3466 626.751
43.5 13.5441 697.805
45.5 14.7911 772.67
16.5 2.1237 51.1708
18.5 2.6293 72.9238
20.5 3.1973 98.511
22.5 3.8243 127.928
24.5 4.5094 161.173
26.5 5.2506 198.243
28.5 6.0465 239.135
30.5 6.8963 283.85
32.5 7.7988 332.384
34.5 8.7546 384.738
36.5 9.7638 440.91
38.5 10.8268 500.9
40.5 11.9392 564.706
42.5 13.0861 632.329
23.5 4.58 191.077
25.5 5.2251 231.646
27.5 5.9273 276.025
29.5 6.6819 324.213
31.5 7.4919 376.213
33.5 8.3573 432.022
35.5 9.2778 491.643
