#********************************************************
#**********THE FINAL RESULTS FOR CHI2 FUNCTION***********
#ADAPTIVE SINGLE PARTICLE ENERGIES CONSIDERED (e_0=ARRAY)
#e_0        I_0        V        CHI2
-0.0000   47.6000   4.4100   0.1039
-0.0835   47.6000   4.7100   0.1030
-0.1670   47.6000   5.0100   0.1023
-0.2505   47.6000   5.3100   0.1016
-0.3340   47.6000   5.6100   0.1010
-0.4175   47.6000   6.0100   0.1004
-0.5010   47.5000   6.3100   0.0999
-0.5845   47.5000   6.7100   0.0995
-0.6680   47.5000   7.1100   0.0991
-0.7515   47.5000   7.5100   0.0987
-0.8350   47.5000   7.9100   0.0984
-0.9185   47.5000   8.3100   0.0981
-1.0020   47.5000   8.7100   0.0978
-1.0855   47.5000   9.1100   0.0976
-1.1690   47.5000   9.5100   0.0973
-1.2525   47.5000   9.9100   0.0971
-1.3360   47.4000   9.9100   0.0971
-1.4195   47.3000   9.9100   0.0973
-1.5030   47.3000   9.9100   0.0978
-1.5865   47.2000   9.9100   0.0986
-1.6700   47.1000   9.9100   0.0996
-1.7535   47.0000   9.9100   0.1008
-1.8370   46.9000   9.9100   0.1024
-1.9205   46.8000   9.9100   0.1041
-2.0040   46.7000   9.9100   0.1062
-2.0875   46.6000   9.9100   0.1085
-2.1710   46.6000   9.9100   0.1110
-2.2545   46.5000   9.9100   0.1139
-2.3380   46.4000   9.9100   0.1169
-2.4215   46.3000   9.9100   0.1203
