RESULTS FOR CHI-2 WITH DIFFERENT SINGLE-PARTICLE ENERGY
I_0     V     I     E_th     E_exp     CHI2
******************************
              e=              -0
*******TSD1********
47.6 4.41 8.5 0.0952616 0.1966 0.103855
47.6 4.41 10.5 0.270342 0.4597 0.103855
47.6 4.41 12.5 0.525273 0.7746 0.103855
47.6 4.41 14.5 0.860081 1.1609 0.103855
47.6 4.41 16.5 1.27479 1.6112 0.103855
47.6 4.41 18.5 1.76941 2.1265 0.103855
47.6 4.41 20.5 2.34396 2.7051 0.103855
47.6 4.41 22.5 2.99846 3.3441 0.103855
47.6 4.41 24.5 3.73292 4.0411 0.103855
47.6 4.41 26.5 4.54734 4.7937 0.103855
47.6 4.41 28.5 5.44174 5.5992 0.103855
47.6 4.41 30.5 6.41612 6.457 0.103855
47.6 4.41 32.5 7.47049 7.3667 0.103855
47.6 4.41 34.5 8.60485 8.3293 0.103855
47.6 4.41 36.5 9.81922 9.3458 0.103855
47.6 4.41 38.5 11.1136 10.4169 0.103855
47.6 4.41 40.5 12.488 11.5431 0.103855
47.6 4.41 42.5 13.9423 12.7224 0.103855
47.6 4.41 44.5 15.4767 13.9491 0.103855
47.6 4.41 46.5 17.0912 15.2181 0.103855
47.6 4.41 48.5 18.7856 16.5221 0.103855
*******TSD2********
47.6 4.41 13.5 0.697637 1.3394 0.103855
47.6 4.41 15.5 1.03929 1.7467 0.103855
47.6 4.41 17.5 1.46081 2.2184 0.103855
47.6 4.41 19.5 1.96226 2.7527 0.103855
47.6 4.41 21.5 2.54365 3.3484 0.103855
47.6 4.41 23.5 3.20501 4.003 0.103855
47.6 4.41 25.5 3.94636 4.7143 0.103855
47.6 4.41 27.5 4.76772 5.4805 0.103855
47.6 4.41 29.5 5.6691 6.3004 0.103855
47.6 4.41 31.5 6.65051 7.1733 0.103855
47.6 4.41 33.5 7.71196 8.0998 0.103855
47.6 4.41 35.5 8.85346 9.08 0.103855
47.6 4.41 37.5 10.075 10.1147 0.103855
47.6 4.41 39.5 11.3766 11.2036 0.103855
47.6 4.41 41.5 12.7583 12.3466 0.103855
47.6 4.41 43.5 14.22 13.5441 0.103855
47.6 4.41 45.5 15.7619 14.7911 0.103855
*******TSD3********
47.6 4.41 16.5 1.21849 2.1237 0.103855
47.6 4.41 18.5 1.64684 2.6293 0.103855
47.6 4.41 20.5 2.1551 3.1973 0.103855
47.6 4.41 22.5 2.74333 3.8243 0.103855
47.6 4.41 24.5 3.41155 4.5094 0.103855
47.6 4.41 26.5 4.15979 5.2506 0.103855
47.6 4.41 28.5 4.98809 6.0465 0.103855
47.6 4.41 30.5 5.89645 6.8963 0.103855
47.6 4.41 32.5 6.88489 7.7988 0.103855
47.6 4.41 34.5 7.95343 8.7546 0.103855
47.6 4.41 36.5 9.10206 9.7638 0.103855
47.6 4.41 38.5 10.3308 10.8268 0.103855
47.6 4.41 40.5 11.6397 11.9392 0.103855
47.6 4.41 42.5 13.0287 13.0861 0.103855
*******TSD4********
47.6 4.41 23.5 4.20715 4.58 0.103855
47.6 4.41 25.5 4.96635 5.2251 0.103855
47.6 4.41 27.5 5.8055 5.9273 0.103855
47.6 4.41 29.5 6.72463 6.6819 0.103855
47.6 4.41 31.5 7.72376 7.4919 0.103855
47.6 4.41 33.5 8.80292 8.3573 0.103855
47.6 4.41 35.5 9.96212 9.2778 0.103855
47.6 4.41 37.5 11.2014 10.2535 0.103855
47.6 4.41 39.5 12.5207 11.2851 0.103855
47.6 4.41 41.5 13.9201 12.3701 0.103855
******************************
              e=              -0.0835
*******TSD1********
47.6 4.71 8.5 0.0953009 0.1966 0.103018
47.6 4.71 10.5 0.270427 0.4597 0.103018
47.6 4.71 12.5 0.525408 0.7746 0.103018
47.6 4.71 14.5 0.86027 1.1609 0.103018
47.6 4.71 16.5 1.27503 1.6112 0.103018
47.6 4.71 18.5 1.76972 2.1265 0.103018
47.6 4.71 20.5 2.34433 2.7051 0.103018
47.6 4.71 22.5 2.9989 3.3441 0.103018
47.6 4.71 24.5 3.73342 4.0411 0.103018
47.6 4.71 26.5 4.54791 4.7937 0.103018
47.6 4.71 28.5 5.44237 5.5992 0.103018
47.6 4.71 30.5 6.41682 6.457 0.103018
47.6 4.71 32.5 7.47126 7.3667 0.103018
47.6 4.71 34.5 8.60569 8.3293 0.103018
47.6 4.71 36.5 9.82012 9.3458 0.103018
47.6 4.71 38.5 11.1146 10.4169 0.103018
47.6 4.71 40.5 12.489 11.5431 0.103018
47.6 4.71 42.5 13.9435 12.7224 0.103018
47.6 4.71 44.5 15.4779 13.9491 0.103018
47.6 4.71 46.5 17.0924 15.2181 0.103018
47.6 4.71 48.5 18.7869 16.5221 0.103018
*******TSD2********
